mon,temp,rain,rain2,price,sell
1,13.56451613,17,17,42.08246551,2530
2,13.56896552,10,10,30.97337643,7663
3,17.33870968,12,12,41.52879697,32485
4,24.05,8,20,41.6351499,22350
5,27.0483871,3,12,41.61384263,22651
6,29.43333333,6,19,41.69212168,29904
7,30.58064516,4,14,41.22344937,32821
8,29.40322581,7,19,52.2462585,34512
9,28.53333333,6,13,45.48567706,23465
10,26.35483871,4,7,52.18813707,17287
11,19.68333333,6,8,50.37933481,10919
12,17.38333333,2,2,36.00981118,2770
1,16.87096774,10,10,36.39641694,1228
2,16.48214286,9,10,35.07994186,5504
3,18.25862069,15,18,32.97164861,11167
4,22.65,5,11,37.00660347,6118
5,26.19354839,6,13,36.74032091,23184
6,29.53333333,12,26,36.15269392,13085
7,29.59677419,9,24,37.91564437,7907
8,30.24193548,10,19,36,7488
